delay,freq,condition,textbox.text,,,,,,,
0.1,400,exp,224,,250,,,,,
0.4,1000,unexp,389,,,,,,,
0.1,1000,unexp,216,,,,,,,
0.7,1000,unexp,319,,,,,,,
0.1,400,exp,309,,,,,,,
0.7,400,exp,250,,,,,,,
0.4,1000,unexp,240,,,,,,,
0.4,1000,unexp,215,,,,,,,
0.7,400,exp,350,,,,,,,
0.1,1000,unexp,680,,,,,,,
0.1,400,exp,570,,,,,,,
0.4,1000,unexp,573,,,,,,,
0.1,400,exp,589,,,,,,,
0.7,400,exp,543,,,,,,,
0.1,1000,unexp,467,,,,,,,
0.7,1000,unexp,541,,,,,,,
0.4,400,exp,658,,,,,,,
0.7,400,exp,478,,,,,,,
0.1,400,exp,671,,,,,,,
0.4,1000,unexp,457,,,,,,,
0.1,1000,unexp,567,,,,,,,
0.4,1000,unexp,490,,,,,,,
0.1,1000,unexp,587,,,,,,,
0.7,400,exp,349,,,,,,,
0.1,400,exp,457,,,,,,,
0.7,1000,unexp,547,,,,,,,
0.4,400,exp,653,,,,,,,
0.4,400,exp,650,,,,,,,
0.7,400,exp,449,,,,,,,
0.1,1000,unexp,100,,,,,,,
0.1,1000,unexp,350,,,,,,,
0.1,400,exp,670,,,,,,,
0.7,400,exp,420,,,,,,,
0.1,400,exp,230,,,,,,,
0.4,1000,unexp,630,,,,,,,
0.4,1000,unexp,490,,,,,,,
0.7,1000,unexp,630,,,,,,,
0.1,1000,unexp,790,,,,,,,
0.1,400,exp,510,,,,,,,
0.7,400,exp,900,,,,,,,
0.4,1000,unexp,660,,,,,,,
0.1,400,exp,530,,,,,,,
0.4,400,exp,790,,,,,,,
0.7,400,exp,620,,,,,,,
0.4,1000,unexp,490,,,,,,,
0.7,1000,unexp,470,,,,,,,
0.1,1000,unexp,640,,,,,,,
0.7,400,exp,700,,,,,,,
0.4,1000,unexp,560,,,,,,,
0.1,1000,unexp,320,,,,,,,
0.4,400,exp,330,,,,,,,
0.1,400,exp,"570
",,,,,,,
0.1,400,exp,680,,,,,,,
0.1,1000,unexp,570,,,,,,,
0.7,400,exp,690,,,,,,,
0.4,1000,unexp,990,,,,,,,
0.7,1000,unexp,770,,,,,,,
0.4,400,exp,800,,,,,,,
0.7,400,exp,650,,,,,,,
0.1,1000,unexp,780,,,,,,,
0.4,1000,unexp,540,,,,,,,
0.7,400,exp,320,,,,,,,
0.1,1000,unexp,520,,,,,,,
0.7,1000,unexp,420,,,,,,,
0.1,400,exp,360,,,,,,,
0.4,1000,unexp,450,,,,,,,
0.1,400,exp,560,,,,,,,
0.1,400,exp,590,,,,,,,
0.1,400,exp,780,,,,,,,
0.4,1000,unexp,670,,,,,,,
0.1,1000,unexp,900,,,,,,,
