staircase.thisTrialN,staircase.stepSize,staircase.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,staircase.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
58,0.5,19.5,98.78843050000432,,98.77382279999438,98.78843050000432,99.28809010000259,99.28809010000259,99.28809010000259,99.58771039999556,99.60568209999474,left,-19.5,1,1,0.3015760999987833,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
59,0.5,19.0,99.62133179999364,,99.60578389999864,99.62133179999364,100.12113499999396,100.12113499999396,100.12113499999396,100.4209925000032,100.67391399999906,left,-19.0,1,1,0.5444061000016518,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
60,0.5,19.0,100.68803400000616,,100.67407710000407,100.68803400000616,101.18786970000656,101.18786970000656,101.18786970000656,101.48854530000244,101.72335800000292,left,-19.0,1,1,0.5208542000036687,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
61,0.5,19.0,101.73856060000253,,101.72352410000167,101.73856060000253,102.23814279999351,102.23814279999351,102.25441559999308,102.53800339999725,102.5569828000007,left,-19.0,1,1,0.3128441000008024,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
62,0.5,18.5,102.57162410000456,,102.55715500000224,102.57162410000456,103.07125459999952,103.07125459999952,103.07125459999952,103.37143879999348,103.6556569999957,right,18.5,1,1,0.5803560999920592,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
63,0.5,18.5,103.67111789999763,,103.6557596000057,103.67111789999763,104.17121080000652,104.17121080000652,104.17121080000652,104.47161249999772,104.5398775000067,right,18.5,1,1,0.3610371000104351,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
64,0.5,18.5,104.55465720000211,,104.5400695999997,104.55465720000211,105.0545817999955,105.0545817999955,105.0545817999955,105.35440409999865,105.42280089999258,left,-18.5,0,0,0.3550838999944972,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
65,0.5,19.0,105.43800949999422,,105.42292769999767,105.43800949999422,105.93809789999796,105.93809789999796,105.93809789999796,106.23801869999443,106.65600069999346,right,19.0,1,1,0.7123863000015263,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
66,0.5,19.0,106.67129430000205,,106.65616189999855,106.67129430000205,107.17093819999718,107.17093819999718,107.17093819999718,107.47159210000245,107.50682049999887,left,-19.0,1,1,0.3299244999943767,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
67,0.5,19.0,107.52151340000273,,107.50698799999373,107.52151340000273,108.02028719999362,108.02028719999362,108.02028719999362,108.32092759999796,108.48895389999961,right,19.0,1,1,0.455250300001353,182340,001,2024-09-12_20h41.00.415,adaptive_staircase,2024.1.5,None,2024-09-12 20h41.12.471714 +0530,
