trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
51,0,51,0,78.30009919998702,,78.2733943000203,5,78.30009919998702,78.30009919998702,0.016317300032824278,79.65589279995766,[-0.01574074074074074],[-0.2740740740740741],[1],[0],[0],[1.3663153999950737],['target'],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
52,0,52,0,79.73416879994329,,79.66356619994622,10,79.73416879994329,79.73416879994329,0.05502810003235936,81.05886710004415,[-0.48055555555555557],[0.032407407407407406],[1],[0],[0],[1.34120859997347],['target'],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
53,0,53,0,81.13107470003888,,81.06640999997035,10,81.13107470003888,81.13107470003888,0.04930750001221895,82.41594979993533,[-0.32592592592592595],[-0.0712962962962963],[1],[0],[0],[1.301084200036712],['target'],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
54,0,54,0,82.45362980000209,,82.4234332999913,5,82.45362980000209,82.45362980000209,0.02097529999446124,83.60180579998996,[0.025],[0.3074074074074074],[1],[0],[0],[1.1581363999284804],[],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
55,0,55,0,83.63999639998656,,83.60901220003143,5,83.63999639998656,83.63999639998656,0.02211310004349798,84.30295879999176,[0.09444444444444444],[0.30648148148148147],[1],[0],[0],[0.6728308999445289],['target'],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
56,0,56,0,84.37202529993374,,84.31039849994704,10,84.37202529993374,84.37202529993374,0.04769899998791516,86.12742569996044,[-0.23981481481481481],[-0.29444444444444445],[1],[0],[0],[1.770559799973853],['target'],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
57,0,57,0,86.1633950000396,,86.1344192000106,5,86.1633950000396,86.1633950000396,0.01964469999074936,88.15104180003982,[-0.44907407407407407],[-0.39351851851851855],[1],[0],[0],[1.9977847000118345],[],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
58,0,58,0,88.20590469997842,,88.15798999997787,10,88.20590469997842,88.20590469997842,0.032238999963738024,89.9911085999338,[-0.2638888888888889],[-0.06111111111111111],[1],[0],[0],[1.8016390000702813],['target'],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
59,0,59,0,90.01855969999451,,89.99416400003247,5,90.01855969999451,90.01855969999451,0.014157700003124774,91.11820489994716,[0.022222222222222223],[-0.16666666666666666],[1],[0],[0],[1.1098413000581786],[],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
60,0,60,0,91.1632140999427,,91.12541400000919,5,91.1632140999427,91.1632140999427,0.02384639997035265,92.59049770003185,[-0.16111111111111112],[-0.4787037037037037],[1],[0],[0],[1.4424703000113368],['target'],518027,001,2024-10-10_19h49.07.379,Task3_VisualSearch,2024.1.5,None,2024-10-10 19h49.18.265112 +0530,
